"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"246","246","8","control","0","24","4","0","2","0","5","10","0","1","0","0","0","1","16","0","0","0","0","0","0"
"247","247","8","control","0","27","8","1","3","0","7","9","0","0","0","0","0","0","18","0","0","0","0","0","0"
"248","248","8","control","0","31","7","1","1","0","10","9","0","0","0","0","0","2","2","0","0","0","0","0","0"
"249","249","8","control","0","40","10","1","0","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","250","8","control","0","40","4","1","1","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","251","8","control","0","38","8","1","2","0","11","4","1","0","0","0","0","0","0","0","1","0","0","0","0"
"252","252","8","control","0","37","7","1","1","0","6","6","0","0","0","0","0","3","0","0","1","0","0","0","0"
"253","253","8","control","0","35","8","1","2","0","5","6","0","0","0","0","0","2","0","0","1","0","0","0","0"
"254","254","8","control","0","39","12","2","2","0","4","4","0","0","0","0","0","0","4","0","0","0","0","0","0"
"255","255","8","control","0","27","10","1","2","0","5","8","0","0","0","0","0","2","5","0","0","0","0","0","0"
"256","256","8","control","0","22","8","1","1","0","3","5","0","0","0","0","0","0","6","0","0","0","0","0","0"
"257","257","8","control","0","2","0","0","2","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0"
